place,aruco_type,id,size_mm,x,y,z
floor,DICT_5X5_50,1,190,0,0,0
floor,DICT_5X5_50,2,190,8.122,0,0
floor,DICT_5X5_50,3,190,8.122,3.664,0
floor,DICT_5X5_50,4,190,0,1.832,0
floor,DICT_5X5_50,6,190,8.122,1.832,0
floor,DICT_5X5_50,8,190,0,0.916,0
floor,DICT_5X5_50,9,190,3.04575,0,0
floor,DICT_5X5_50,13,190,1.015,3.664,0
floor,DICT_5X5_50,14,190,0,2.748,0
floor,DICT_5X5_50,15,190,1.015,0,0
floor,DICT_5X5_50,18,190,7.10675,3.664,0
floor,DICT_5X5_50,19,190,3.04575,3.664,0
floor,DICT_5X5_50,20,190,2.035,3.664,0
husky_blue,DICT_5X5_50,24,190,0,0,0
husky_blue,DICT_5X5_50,25,190,0,0,0
husky_blue,DICT_5X5_50,26,190,0,0,0
husky_black,DICT_5X5_50,27,190,0,0,0
husky_black,DICT_5X5_50,28,190,0,0,0
husky_black,DICT_5X5_50,29,190,0,0,0
oarbot_blue,DICT_5X5_50,30,190,0,0,0
oarbot_blue,DICT_5X5_50,31,190,0,0,0
oarbot_blue,DICT_5X5_50,32,190,0,0,0
oarbot_silver,DICT_5X5_50,33,190,0,0,0
oarbot_silver,DICT_5X5_50,34,190,0,0,0
oarbot_silver,DICT_5X5_50,35,190,0,0,0
ridgeback,DICT_5X5_50,36,190,0,0,0
ridgeback,DICT_5X5_50,37,190,0,0,0
ridgeback,DICT_5X5_50,38,190,0,0,0
